,Red,Green,Blue,W1,Pot1,W2,Pot2,W3,Pot3,Fruit
0,107.0,82.0,63.0,0.0,76.0,0.0,76.0,0.0,76.0,0.0
1,106.0,82.0,63.0,11.5,77.0,32.5,77.0,26.0,77.0,0.0
2,108.0,80.0,62.0,0.0,80.5,0.0,80.5,0.0,80.5,0.0
3,108.0,81.0,63.0,0.0,75.5,0.0,75.5,7.5,75.5,0.0
4,109.0,80.0,62.0,1.0,78.0,15.5,78.0,0.0,78.0,0.0
5,107.0,81.0,63.0,0.0,80.0,35.0,80.0,0.0,80.0,0.0
6,107.0,81.0,63.0,8.0,77.0,4.0,77.0,16.5,77.0,0.0
7,108.0,81.0,62.0,0.0,81.0,0.0,81.0,0.0,81.0,0.0
8,106.0,82.0,63.0,42.0,77.0,0.0,77.0,38.5,77.0,0.0
9,107.0,81.0,63.0,44.0,76.0,73.5,76.0,47.5,76.0,0.0
10,108.0,81.0,63.0,18.0,77.0,0.0,77.0,3.5,77.0,0.0
11,107.0,81.0,63.0,11.0,77.0,11.5,77.0,0.0,77.0,0.0
12,107.0,81.0,63.0,16.0,78.0,0.0,78.0,0.0,78.0,0.0
13,108.0,81.0,62.0,0.0,77.0,12.0,77.0,0.0,77.0,0.0
14,109.0,80.0,62.0,43.5,77.5,15.5,77.5,45.0,77.5,0.0
15,108.0,81.0,62.0,37.0,77.0,16.5,77.0,39.5,77.0,0.0
16,109.0,80.0,62.0,0.0,78.0,13.5,78.0,0.0,78.0,0.0
17,108.0,80.0,62.0,1.0,78.0,0.0,78.0,6.0,78.0,0.0
18,107.0,81.0,63.0,9.0,80.0,0.0,80.0,0.0,80.0,0.0
19,107.0,81.0,63.0,0.0,78.0,0.0,78.0,0.0,78.0,0.0
20,106.0,82.0,63.0,52.5,75.5,69.5,75.5,42.5,75.5,0.0
21,112.0,79.0,61.0,6.0,78.0,38.0,78.0,0.0,78.0,0.0
22,107.0,81.0,63.0,18.0,78.0,31.0,78.0,13.5,78.0,0.0
23,109.0,80.0,62.0,0.0,79.0,0.0,79.0,22.5,79.0,0.0
24,107.0,81.0,62.0,16.0,78.0,0.0,78.0,0.0,78.0,0.0
25,109.0,80.0,62.0,0.0,77.5,0.0,77.5,6.0,77.5,0.0
26,106.0,82.0,63.0,22.0,75.5,29.5,75.5,0.0,75.5,0.0
27,110.0,80.0,61.0,26.5,76.0,17.5,76.0,24.5,76.0,0.0
28,107.0,81.0,63.0,24.0,75.5,16.5,75.5,0.0,75.5,0.0
29,110.0,80.0,61.0,45.5,78.0,7.5,78.0,36.5,78.0,0.0
30,108.0,81.0,62.0,2.0,78.0,0.0,78.0,14.5,78.0,0.0
31,107.0,81.0,62.0,43.0,77.0,4.0,77.0,30.5,77.0,0.0
32,109.0,80.0,62.0,38.5,76.0,40.5,76.0,26.5,76.0,0.0
33,108.0,81.0,62.0,0.0,78.0,6.5,78.0,0.0,78.0,0.0
0,92.0,84.0,75.0,193.5,198.0,151.0,198.0,77.0,198.0,1.0
1,95.0,86.0,72.0,291.0,244.0,111.0,244.0,161.5,244.0,1.0
2,92.0,84.0,75.0,195.5,229.0,74.5,229.0,63.0,229.0,1.0
3,92.0,84.0,76.0,196.0,268.5,144.5,268.5,66.5,268.5,1.0
4,92.0,84.0,75.0,141.5,152.5,214.0,152.5,58.0,152.5,1.0
5,92.0,84.0,75.0,198.5,152.0,143.0,152.0,77.0,152.0,1.0
6,93.0,83.0,76.0,220.5,232.5,83.0,232.5,107.5,232.5,1.0
7,95.0,85.0,72.0,276.5,197.0,112.5,197.0,155.0,197.0,1.0
8,92.0,83.0,76.0,258.5,181.0,110.0,181.0,55.0,181.0,1.0
9,92.0,84.0,75.0,187.5,283.0,87.5,283.0,61.5,283.0,1.0
10,92.0,84.0,75.0,178.5,286.0,86.0,286.0,60.0,286.0,1.0
11,92.0,84.0,75.0,173.0,265.0,180.0,265.0,64.0,265.0,1.0
12,92.0,84.0,75.0,204.0,262.5,138.0,262.5,80.0,262.5,1.0
13,91.0,84.0,75.0,185.5,285.0,93.0,285.0,53.5,285.0,1.0
14,95.0,86.0,72.0,248.5,243.0,144.0,243.0,140.5,243.0,1.0
15,92.0,84.0,75.0,198.0,226.0,141.5,226.0,82.5,226.0,1.0
16,92.0,84.0,75.0,193.0,256.5,76.0,256.5,73.0,256.5,1.0
17,92.0,84.0,76.0,258.5,189.0,113.0,189.0,49.5,189.0,1.0
18,92.0,84.0,76.0,172.5,152.5,173.0,152.5,82.5,152.5,1.0
19,92.0,84.0,76.0,152.0,284.5,92.0,284.5,69.0,284.5,1.0
20,91.0,84.0,76.0,258.0,153.5,127.5,153.5,43.5,153.5,1.0
21,92.0,84.0,76.0,192.0,218.0,77.5,218.0,63.0,218.0,1.0
22,92.0,84.0,75.0,147.5,192.5,176.5,192.5,69.5,192.5,1.0
23,92.0,84.0,75.0,196.0,153.0,66.5,153.0,57.5,153.0,1.0
24,92.0,83.0,76.0,238.5,209.0,100.5,209.0,72.0,209.0,1.0
25,92.0,84.0,75.0,189.5,270.5,131.0,270.5,68.0,270.5,1.0
26,95.0,85.0,72.0,229.5,244.0,178.0,244.0,129.0,244.0,1.0
27,92.0,84.0,75.0,197.0,242.5,137.5,242.5,78.5,242.5,1.0
28,92.0,84.0,76.0,171.5,150.5,135.0,150.5,87.5,150.5,1.0
29,94.0,86.0,72.0,215.0,241.5,182.0,241.5,129.0,241.5,1.0
30,92.0,84.0,75.0,182.0,152.0,157.0,152.0,63.5,152.0,1.0
31,95.0,85.0,72.0,264.5,246.0,127.0,246.0,145.0,246.0,1.0
32,92.0,84.0,75.0,202.0,271.5,146.5,271.5,67.0,271.5,1.0
33,92.0,84.0,76.0,211.5,204.5,136.5,204.5,77.0,204.5,1.0
34,92.0,84.0,75.0,197.0,269.0,139.0,269.0,74.5,269.0,1.0
35,92.0,84.0,76.0,242.0,225.5,126.5,225.5,54.0,225.5,1.0
36,92.0,84.0,75.0,209.0,151.5,135.5,151.5,71.5,151.5,1.0
37,95.0,85.0,72.0,271.5,190.5,108.5,190.5,151.5,190.5,1.0
38,92.0,83.0,76.0,237.5,151.0,105.0,151.0,80.5,151.0,1.0
39,92.0,84.0,75.0,183.0,151.5,68.5,151.5,71.0,151.5,1.0
40,92.0,84.0,76.0,196.5,271.0,150.5,271.0,75.0,271.0,1.0
41,92.0,84.0,76.0,193.0,152.5,138.0,152.5,70.5,152.5,1.0
42,95.0,85.0,72.0,263.0,244.5,115.0,244.5,162.0,244.5,1.0
43,92.0,84.0,75.0,183.5,264.0,148.5,264.0,71.5,264.0,1.0
44,95.0,86.0,72.0,263.0,242.5,118.0,242.5,149.0,242.5,1.0
45,92.0,84.0,75.0,195.0,284.0,83.5,284.0,69.0,284.0,1.0
46,95.0,85.0,72.0,178.5,219.0,223.5,219.0,117.5,219.0,1.0
47,93.0,83.0,76.0,231.0,232.5,90.0,232.5,111.0,232.5,1.0
48,92.0,84.0,76.0,149.5,270.0,166.5,270.0,85.5,270.0,1.0
49,92.0,83.0,76.0,209.5,231.0,121.5,231.0,84.0,231.0,1.0
50,92.0,84.0,75.0,200.0,212.0,132.5,212.0,71.5,212.0,1.0
0,108.5,76.0,64.0,314.0,229.0,115.5,229.0,169.0,229.0,2.0
1,120.0,72.0,61.0,225.0,208.0,244.5,208.0,77.5,208.0,2.0
2,108.0,79.0,64.0,251.0,223.5,326.0,223.5,91.5,223.5,2.0
3,121.0,72.0,61.0,294.5,151.0,214.5,151.0,130.5,151.0,2.0
4,111.0,77.0,63.0,266.0,260.0,369.0,260.0,94.5,260.0,2.0
5,108.0,78.0,63.0,256.5,262.0,297.5,262.0,126.0,262.0,2.0
6,112.0,76.0,64.0,311.5,229.5,358.5,229.5,140.5,229.5,2.0
7,121.0,72.0,61.0,295.5,217.0,224.5,217.0,102.5,217.0,2.0
8,107.0,79.0,64.0,295.5,209.0,304.5,209.0,85.5,209.0,2.0
9,110.0,77.0,63.0,260.0,259.0,382.0,259.0,160.0,259.0,2.0
10,114.0,76.0,62.0,182.0,263.0,332.5,263.0,103.5,263.0,2.0
11,112.0,77.0,62.0,132.5,262.0,308.5,262.0,161.5,262.0,2.0
12,112.0,76.0,64.0,319.5,232.5,128.0,232.5,113.0,232.5,2.0
13,117.0,74.0,61.0,298.0,229.0,166.0,229.0,84.5,229.0,2.0
14,121.0,72.0,61.0,259.5,194.0,224.5,194.0,83.5,194.0,2.0
15,114.0,75.0,62.0,180.0,262.5,312.5,262.5,119.5,262.5,2.0
16,110.0,77.0,64.0,311.0,225.5,110.0,225.5,151.5,225.5,2.0
17,121.0,72.0,61.0,226.5,150.5,222.5,150.5,104.0,150.5,2.0
18,110.0,78.0,63.0,214.0,256.0,264.0,256.0,172.0,256.0,2.0
19,117.0,74.0,61.0,223.5,151.0,175.5,151.0,82.0,151.0,2.0
20,114.0,76.0,62.0,201.5,148.0,265.5,148.0,117.0,148.0,2.0
21,112.0,77.0,63.0,182.5,261.0,337.0,261.0,184.0,261.0,2.0
22,120.0,72.0,61.0,309.0,219.0,235.0,219.0,82.5,219.0,2.0
23,108.0,76.0,64.0,287.5,227.0,90.0,227.0,202.5,227.0,2.0
24,121.0,72.0,61.0,289.0,150.0,234.5,150.0,111.5,150.0,2.0
25,108.0,79.0,64.0,264.0,260.0,330.5,260.0,84.5,260.0,2.0
26,120.0,72.0,61.0,277.0,182.0,223.5,182.0,91.5,182.0,2.0
27,111.0,77.0,63.0,308.0,231.0,140.5,231.0,156.5,231.0,2.0
28,117.0,74.0,62.0,143.5,230.5,244.5,230.5,118.0,230.5,2.0
29,108.0,76.0,65.0,284.0,211.5,113.5,211.5,163.5,211.5,2.0
30,114.0,75.0,62.0,114.0,261.0,347.0,261.0,177.5,261.0,2.0
31,109.0,75.0,64.0,277.0,230.0,87.0,230.0,228.0,230.0,2.0
32,114.0,75.0,62.0,222.5,264.0,281.0,264.0,122.0,264.0,2.0
33,119.0,73.0,61.0,256.5,211.5,327.5,211.5,122.5,211.5,2.0
34,120.0,72.0,61.0,267.0,215.5,209.5,215.5,98.5,215.5,2.0
35,117.0,74.0,61.0,176.0,189.5,145.5,189.5,154.5,189.5,2.0
36,111.0,77.0,64.0,264.5,190.0,193.5,190.0,95.5,190.0,2.0
37,116.0,75.0,62.0,221.5,148.0,203.5,148.0,75.0,148.0,2.0
38,109.0,76.0,64.0,330.5,190.5,149.0,190.5,157.0,190.5,2.0
39,112.0,76.0,63.0,205.5,228.0,257.5,228.0,112.0,228.0,2.0
40,109.0,75.0,64.0,305.0,221.5,168.0,221.5,144.5,221.5,2.0
41,114.0,75.0,62.0,173.5,263.0,316.0,263.0,136.5,263.0,2.0
42,116.0,74.0,62.0,235.0,226.5,184.5,226.5,139.0,226.5,2.0
43,110.0,78.0,63.0,265.0,258.0,229.0,258.0,80.0,258.0,2.0
44,116.0,75.0,62.0,226.5,202.5,161.5,202.5,110.0,202.5,2.0
45,107.0,76.0,65.0,288.5,191.5,136.5,191.5,119.5,191.5,2.0
46,109.0,78.0,63.0,291.0,264.5,197.5,264.5,101.0,264.5,2.0
