F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,3917,1000,-13.48
1122.018,3858,1122.018,-13.03
1258.925,3808,1258.925,-12.61
1412.537,3759,1412.537,-12.24
1584.893,3713,1584.893,-11.84
1778.279,3669,1778.279,-11.49
1995.262,3627,1995.262,-11.13
2238.721,3586,2238.721,-10.81
2511.886,3547,2511.886,-10.49
2818.382,3510,2818.382,-10.19
3162.277,3474,3162.277,-9.9
3548.133,3439,3548.133,-9.61
3981.071,3405,3981.071,-9.34
4466.835,3374,4466.835,-9.09
5011.872,3343,5011.872,-8.86
5623.413,3313,5623.413,-8.63
6309.573,3285,6309.573,-8.42
7079.457,3257,7079.457,-8.21
7943.282,3230,7943.282,-8.04
8912.509,3204,8912.509,-7.86
10000,3178,10000,-7.71
11220.18,3154,11220.18,-7.57
12589.25,3130,12589.25,-7.44
14125.37,3107,14125.37,-7.33
15848.93,3084,15848.93,-7.23
17782.79,3062,17782.79,-7.15
19952.62,3039,19952.62,-7.08
22387.21,3018,22387.21,-7.03
25118.86,2996,25118.86,-6.99
28183.82,2975,28183.82,-6.96
31622.77,2954,31622.77,-6.95
35481.33,2933,35481.33,-6.95
39810.71,2907,39810.71,-6.9
44668.35,2886,44668.35,-6.94
50118.72,2866,50118.72,-6.99
56234.13,2846,56234.13,-7.07
63095.73,2825,63095.73,-7.15
70794.57,2805,70794.57,-7.26
79432.82,2785,79432.82,-7.37
89125.09,2765,89125.09,-7.53
100000,2745,100000,-7.7
112201.8,2725,112201.8,-7.9
125892.5,2705,125892.5,-8.12
141253.7,2684,141253.7,-8.37
158489.3,2664,158489.3,-8.66
177827.9,2644,177827.9,-8.99
199526.2,2623,199526.2,-9.36
223872.1,2602,223872.1,-9.78
251188.6,2581,251188.6,-10.25
281838.2,2559,281838.2,-10.77
316227.7,2536,316227.7,-11.36
354813.3,2513,354813.3,-12.02
398107.1,2489,398107.1,-12.76
446683.5,2464,446683.5,-13.58
501187.2,2437,501187.2,-14.48
562341.3,2408,562341.3,-15.49
630957.3,2378,630957.3,-16.59
707945.7,2345,707945.7,-17.8
794328.2,2309,794328.2,-19.13
891250.9,2271,891250.9,-20.58
1000000,2229,1000000,-22.14
1122018,2183,1122018,-23.84
1258925,2134,1258925,-25.65
1412537,2081,1412537,-27.59
1584893,2023,1584893,-29.64
1778279,1960,1778279,-31.81
1995262,1894,1995262,-34.07
2238721,1823,2238721,-36.43
2511886,1749,2511886,-38.86
2818382,1671,2818382,-41.36
3162277,1591,3162277,-43.89
3548133,1509,3548133,-46.46
3981071,1426,3981071,-49.03
4466835,1343,4466835,-51.61
5011872,1261,5011872,-54.19
5623413,1182,5623413,-56.77
6309573,1105,6309573,-59.34
7079457,1029.1,7079457,-61.74
7943282,959.6,7943282,-64.33
8912509,893.3,8912509,-67
10000000,829.5,10000000,-69.83
