F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,1279200,6309.573,-88.05
7079.457,1142300,7079.457,-88.08
7943.282,1020500,7943.282,-88.06
8912.509,911400,8912.509,-88.08
10000,813800,10000,-88.09
11220.18,727100,11220.18,-88.1
12589.25,649300,12589.25,-88.12
14125.37,580000,14125.37,-88.13
15848.93,518000,15848.93,-88.15
17782.79,462700,17782.79,-88.17
19952.62,413200,19952.62,-88.18
22387.21,369100,22387.21,-88.22
25118.86,329600,25118.86,-88.24
28183.82,294400,28183.82,-88.25
31622.77,262800,31622.77,-88.28
35481.33,234700,35481.33,-88.29
39810.71,209600,39810.71,-88.31
44668.35,187100,44668.35,-88.34
50118.72,167100,50118.72,-88.36
56234.13,149200,56234.13,-88.38
63095.73,133200,63095.73,-88.4
70794.57,119000,70794.57,-88.42
79432.82,106230,79432.82,-88.44
89125.09,94840,89125.09,-88.47
100000,84680,100000,-88.5
112201.8,75600,112201.8,-88.53
125892.5,67490,125892.5,-88.56
141253.7,60260,141253.7,-88.59
158489.3,53770,158489.3,-88.6
177827.9,48000,177827.9,-88.62
199526.2,42850,199526.2,-88.64
223872.1,38250,223872.1,-88.65
251188.6,34140,251188.6,-88.67
281838.2,30480,281838.2,-88.69
316227.7,27200,316227.7,-88.71
354813.3,24280,354813.3,-88.72
398107.1,21680,398107.1,-88.74
446683.5,19350,446683.5,-88.75
501187.2,17270,501187.2,-88.77
562341.3,15430,562341.3,-88.79
630957.3,13770,630957.3,-88.79
707945.7,12290,707945.7,-88.8
794328.2,10945,794328.2,-88.8
891250.9,9773,891250.9,-88.8
1000000,8727,1000000,-88.81
1122018,7794,1122018,-88.82
1258925,6963,1258925,-88.82
1412537,6221,1412537,-88.82
1584893,5561,1584893,-88.82
1778279,4973,1778279,-88.81
1995262,4449,1995262,-88.81
2238721,3983,2238721,-88.8
2511886,3569,2511886,-88.79
2818382,3201,2818382,-88.78
3162277,2875,3162277,-88.77
3548133,2586,3548133,-88.76
3981071,2332,3981071,-88.74
4466835,2108,4466835,-88.72
5011872,1913,5011872,-88.7
5623413,1745,5623413,-88.67
6309573,1601,6309573,-88.66
7079457,1482,7079457,-88.65
7943282,1387,7943282,-88.67
8912509,1321,8912509,-88.72
10000000,1289,10000000,-88.84
