F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,1198000,6309.573,-87.2
7079.457,1072000,7079.457,-87.2
7943.282,959000,7943.282,-87.2
8912.509,857000,8912.509,-87.3
10000,766000,10000,-87.3
11220.18,685000,11220.18,-87.3
12589.25,613000,12589.25,-87.4
14125.37,548000,14125.37,-87.4
15848.93,490000,15848.93,-87.4
17782.79,438000,17782.79,-87.4
19952.62,392000,19952.62,-87.5
22387.21,350000,22387.21,-87.5
25118.86,313000,25118.86,-87.6
28183.82,280000,28183.82,-87.6
31622.77,250000,31622.77,-87.6
35481.33,224000,35481.33,-87.7
39810.71,200000,39810.71,-87.7
44668.35,179000,44668.35,-87.7
50118.72,160000,50118.72,-87.8
56234.13,143000,56234.13,-87.8
63095.73,128000,63095.73,-87.8
70794.57,114000,70794.57,-87.9
79432.82,101770,79432.82,-87.93
89125.09,90970,89125.09,-87.94
100000,81260,100000,-87.98
112201.8,72610,112201.8,-88.02
125892.5,64850,125892.5,-88.07
141253.7,57980,141253.7,-88
158489.3,51760,158489.3,-88.14
177827.9,46220,177827.9,-88.16
199526.2,41280,199526.2,-88.19
223872.1,36870,223872.1,-88.24
251188.6,32930,251188.6,-88.27
281838.2,29410,281838.2,-88.3
316227.7,26270,316227.7,-88.32
354813.3,23460,354813.3,-88.34
398107.1,20950,398107.1,-88.37
446683.5,18710,446683.5,-88.39
501187.2,16710,501187.2,-88.41
562341.3,14920,562341.3,-88.43
630957.3,13320,630957.3,-88.45
707945.7,11900,707945.7,-88.47
794328.2,10593,794328.2,-88.46
891250.9,9461,891250.9,-88.47
1000000,8449,1000000,-88.48
1122018,7547,1122018,-88.49
1258925,6741,1258925,-88.5
1412537,6022,1412537,-88.5
1584893,5382,1584893,-88.5
1778279,4810,1778279,-88.5
1995262,4299,1995262,-88.49
2238721,3844,2238721,-88.49
2511886,3439,2511886,-88.48
2818382,3078,2818382,-88.48
3162277,2756,3162277,-88.47
3548133,2470,3548133,-88.45
3981071,2215,3981071,-88.43
4466835,1990,4466835,-88.4
5011872,1790,5011872,-88.38
5623413,1613,5623413,-88.36
6309573,1457,6309573,-88.34
7079457,1319,7079457,-88.33
7943282,1199,7943282,-88.35
8912509,1090.3,8912509,-88.03
10000000,999.5,10000000,-87.97
