F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	1267000.000000	5623.413000	-86.600000
6309.573000	1135000.000000	6309.573000	-86.700000
7079.457000	1015000.000000	7079.457000	-86.700000
7943.282000	908000.000000	7943.282000	-86.800000
8912.509000	812000.000000	8912.509000	-86.900000
10000.000000	727000.000000	10000.000000	-86.900000
11220.180000	650000.000000	11220.180000	-86.900000
12589.250000	581000.000000	12589.250000	-86.900000
14125.370000	521000.000000	14125.370000	-87.000000
15848.930000	466000.000000	15848.930000	-87.000000
17782.790000	417000.000000	17782.790000	-87.100000
19952.620000	372000.000000	19952.620000	-87.100000
22387.210000	333000.000000	22387.210000	-87.200000
25118.860000	298000.000000	25118.860000	-87.200000
28183.820000	267000.000000	28183.820000	-87.200000
31622.770000	238000.000000	31622.770000	-87.200000
35481.330000	213000.000000	35481.330000	-87.200000
39810.710000	191000.000000	39810.710000	-87.300000
44668.350000	170000.000000	44668.350000	-87.300000
50118.720000	152000.000000	50118.720000	-87.400000
56234.130000	136000.000000	56234.130000	-87.400000
63095.730000	122000.000000	63095.730000	-87.400000
70794.570000	108950.000000	70794.570000	-87.440000
79432.820000	97420.000000	79432.820000	-87.480000
89125.090000	87080.000000	89125.090000	-87.550000
100000.000000	77870.000000	100000.000000	-87.560000
112201.800000	69630.000000	112201.800000	-87.590000
125892.500000	62230.000000	125892.500000	-87.640000
141253.700000	55630.000000	141253.700000	-87.640000
158489.300000	49740.000000	158489.300000	-87.710000
177827.900000	44440.000000	177827.900000	-87.740000
199526.200000	39710.000000	199526.200000	-87.770000
223872.100000	35490.000000	223872.100000	-87.810000
251188.600000	31720.000000	251188.600000	-87.850000
281838.200000	28350.000000	281838.200000	-87.880000
316227.700000	25330.000000	316227.700000	-87.910000
354813.300000	22640.000000	354813.300000	-87.940000
398107.100000	20230.000000	398107.100000	-87.970000
446683.500000	18070.000000	446683.500000	-88.000000
501187.200000	16150.000000	501187.200000	-88.030000
562341.300000	14430.000000	562341.300000	-88.060000
630957.300000	12890.000000	630957.300000	-88.080000
707945.700000	11520.000000	707945.700000	-88.110000
794328.200000	10260.000000	794328.200000	-88.110000
891250.900000	9170.000000	891250.900000	-88.130000
1000000.000000	8196.000000	1000000.000000	-88.150000
1122018.000000	7325.000000	1122018.000000	-88.170000
1258925.000000	6548.000000	1258925.000000	-88.180000
1412537.000000	5856.000000	1412537.000000	-88.180000
1584893.000000	5239.000000	1584893.000000	-88.210000
1778279.000000	4688.000000	1778279.000000	-88.190000
1995262.000000	4197.000000	1995262.000000	-88.190000
2238721.000000	3759.000000	2238721.000000	-88.180000
2511886.000000	3371.000000	2511886.000000	-88.180000
2818382.000000	3022.000000	2818382.000000	-88.170000
3162277.000000	2716.000000	3162277.000000	-88.160000
3548133.000000	2445.000000	3548133.000000	-88.140000
3981071.000000	2208.000000	3981071.000000	-88.110000
4466835.000000	1997.000000	4466835.000000	-88.090000
5011872.000000	1814.000000	5011872.000000	-88.050000
5623413.000000	1655.000000	5623413.000000	-88.010000
6309573.000000	1519.000000	6309573.000000	-87.980000
7079457.000000	1407.000000	7079457.000000	-87.960000
7943282.000000	1318.000000	7943282.000000	-87.960000
8912509.000000	1255.000000	8912509.000000	-87.980000
1.000000E+7	1225.000000	1.000000E+7	-88.070000
