F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	1185600.000000	6309.573000	-87.580000
7079.457000	1059300.000000	7079.457000	-87.580000
7943.282000	946800.000000	7943.282000	-87.610000
8912.509000	846000.000000	8912.509000	-87.610000
10000.000000	756100.000000	10000.000000	-87.620000
11220.180000	675600.000000	11220.180000	-87.620000
12589.250000	603800.000000	12589.250000	-87.650000
14125.370000	539600.000000	14125.370000	-87.650000
15848.930000	482200.000000	15848.930000	-87.670000
17782.790000	430900.000000	17782.790000	-87.690000
19952.620000	385100.000000	19952.620000	-87.690000
22387.210000	344100.000000	22387.210000	-87.710000
25118.860000	307500.000000	25118.860000	-87.720000
28183.820000	274800.000000	28183.820000	-87.740000
31622.770000	245500.000000	31622.770000	-87.750000
35481.330000	219400.000000	35481.330000	-87.760000
39810.710000	196100.000000	39810.710000	-87.790000
44668.350000	175100.000000	44668.350000	-87.820000
50118.720000	156500.000000	50118.720000	-87.840000
56234.130000	139800.000000	56234.130000	-87.860000
63095.730000	124900.000000	63095.730000	-87.880000
70794.570000	111600.000000	70794.570000	-87.900000
79432.820000	99710.000000	79432.820000	-87.920000
89125.090000	89080.000000	89125.090000	-87.960000
100000.000000	79580.000000	100000.000000	-87.980000
112201.800000	71100.000000	112201.800000	-88.020000
125892.500000	63510.000000	125892.500000	-88.040000
141253.700000	56720.000000	141253.700000	-88.080000
158489.300000	50660.000000	158489.300000	-88.090000
177827.900000	45250.000000	177827.900000	-88.120000
199526.200000	40420.000000	199526.200000	-88.140000
223872.100000	36100.000000	223872.100000	-88.160000
251188.600000	32240.000000	251188.600000	-88.180000
281838.200000	28800.000000	281838.200000	-88.230000
316227.700000	25720.000000	316227.700000	-88.250000
354813.300000	22970.000000	354813.300000	-88.280000
398107.100000	20510.000000	398107.100000	-88.300000
446683.500000	18320.000000	446683.500000	-88.320000
501187.200000	16360.000000	501187.200000	-88.340000
562341.300000	14610.000000	562341.300000	-88.360000
630957.300000	13050.000000	630957.300000	-88.370000
707945.700000	11660.000000	707945.700000	-88.390000
794328.200000	10382.000000	794328.200000	-88.390000
891250.900000	9274.000000	891250.900000	-88.400000
1000000.000000	8293.000000	1000000.000000	-88.380000
1122018.000000	7412.000000	1122018.000000	-88.420000
1258925.000000	6621.000000	1258925.000000	-88.420000
1412537.000000	5916.000000	1412537.000000	-88.420000
1584893.000000	5290.000000	1584893.000000	-88.420000
1778279.000000	4732.000000	1778279.000000	-88.410000
1995262.000000	4235.000000	1995262.000000	-88.400000
2238721.000000	3793.000000	2238721.000000	-88.390000
2511886.000000	3399.000000	2511886.000000	-88.380000
2818382.000000	3050.000000	2818382.000000	-88.370000
3162277.000000	2740.000000	3162277.000000	-88.350000
3548133.000000	2468.000000	3548133.000000	-88.330000
3981071.000000	2226.000000	3981071.000000	-88.300000
4466835.000000	2013.000000	4466835.000000	-88.270000
5011872.000000	1828.000000	5011872.000000	-88.240000
5623413.000000	1667.000000	5623413.000000	-88.180000
6309573.000000	1530.000000	6309573.000000	-88.150000
7079457.000000	1416.000000	7079457.000000	-88.130000
7943282.000000	1327.000000	7943282.000000	-88.120000
8912509.000000	1263.000000	8912509.000000	-88.150000
1.000000E+7	1233.000000	1.000000E+7	-88.270000
