F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	1254000.000000	6309.573000	-88.100000
7079.457000	1120000.000000	7079.457000	-88.100000
7943.282000	1001000.000000	7943.282000	-88.100000
8912.509000	895000.000000	8912.509000	-88.100000
10000.000000	799000.000000	10000.000000	-88.200000
11220.180000	714000.000000	11220.180000	-88.100000
12589.250000	638000.000000	12589.250000	-88.200000
14125.370000	570000.000000	14125.370000	-88.100000
15848.930000	509000.000000	15848.930000	-88.200000
17782.790000	455000.000000	17782.790000	-88.200000
19952.620000	406000.000000	19952.620000	-88.200000
22387.210000	363000.000000	22387.210000	-88.300000
25118.860000	324000.000000	25118.860000	-88.300000
28183.820000	289000.000000	28183.820000	-88.300000
31622.770000	258000.000000	31622.770000	-88.300000
35481.330000	231000.000000	35481.330000	-88.300000
39810.710000	206000.000000	39810.710000	-88.300000
44668.350000	184000.000000	44668.350000	-88.400000
50118.720000	164000.000000	50118.720000	-88.400000
56234.130000	147000.000000	56234.130000	-88.400000
63095.730000	131000.000000	63095.730000	-88.400000
70794.570000	117000.000000	70794.570000	-88.400000
79432.820000	104500.000000	79432.820000	-88.450000
89125.090000	93330.000000	89125.090000	-88.440000
100000.000000	83340.000000	100000.000000	-88.480000
112201.800000	74420.000000	112201.800000	-88.510000
125892.500000	66440.000000	125892.500000	-88.540000
141253.700000	59300.000000	141253.700000	-88.570000
158489.300000	52970.000000	158489.300000	-88.580000
177827.900000	47280.000000	177827.900000	-88.590000
199526.200000	42210.000000	199526.200000	-88.620000
223872.100000	37680.000000	223872.100000	-88.620000
251188.600000	33640.000000	251188.600000	-88.640000
281838.200000	30030.000000	281838.200000	-88.660000
316227.700000	26810.000000	316227.700000	-88.670000
354813.300000	23940.000000	354813.300000	-88.680000
398107.100000	21370.000000	398107.100000	-88.700000
446683.500000	19070.000000	446683.500000	-88.710000
501187.200000	17030.000000	501187.200000	-88.720000
562341.300000	15200.000000	562341.300000	-88.730000
630957.300000	13570.000000	630957.300000	-88.750000
707945.700000	12120.000000	707945.700000	-88.760000
794328.200000	10785.000000	794328.200000	-88.740000
891250.900000	9631.000000	891250.900000	-88.740000
1000000.000000	8599.000000	1000000.000000	-88.750000
1122018.000000	7679.000000	1122018.000000	-88.750000
1258925.000000	6858.000000	1258925.000000	-88.750000
1412537.000000	6127.000000	1412537.000000	-88.750000
1584893.000000	5474.000000	1584893.000000	-88.740000
1778279.000000	4892.000000	1778279.000000	-88.730000
1995262.000000	4374.000000	1995262.000000	-88.720000
2238721.000000	3911.000000	2238721.000000	-88.720000
2511886.000000	3499.000000	2511886.000000	-88.710000
2818382.000000	3134.000000	2818382.000000	-88.700000
3162277.000000	2808.000000	3162277.000000	-88.680000
3548133.000000	2518.000000	3548133.000000	-88.660000
3981071.000000	2262.000000	3981071.000000	-88.640000
4466835.000000	2035.000000	4466835.000000	-88.620000
5011872.000000	1834.000000	5011872.000000	-88.590000
5623413.000000	1658.000000	5623413.000000	-88.560000
6309573.000000	1503.000000	6309573.000000	-88.530000
7079457.000000	1369.000000	7079457.000000	-88.530000
7943282.000000	1253.000000	7943282.000000	-88.540000
8912509.000000	1155.000000	8912509.000000	-88.570000
1.000000E+7	1071.400000	1.000000E+7	-88.050000
