F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	NaN	7079.457000	NaN
7943.282000	NaN	7943.282000	NaN
8912.509000	1288000.000000	8912.509000	-88.100000
10000.000000	1153000.000000	10000.000000	-88.200000
11220.180000	1026000.000000	11220.180000	-88.100000
12589.250000	914000.000000	12589.250000	-88.300000
14125.370000	816000.000000	14125.370000	-88.100000
15848.930000	731000.000000	15848.930000	-88.100000
17782.790000	653000.000000	17782.790000	-88.100000
19952.620000	585000.000000	19952.620000	-88.200000
22387.210000	526000.000000	22387.210000	-87.900000
25118.860000	468000.000000	25118.860000	-88.200000
28183.820000	418000.000000	28183.820000	-88.200000
31622.770000	373000.000000	31622.770000	-88.200000
35481.330000	332000.000000	35481.330000	-88.200000
39810.710000	296000.000000	39810.710000	-88.300000
44668.350000	264000.000000	44668.350000	-88.200000
50118.720000	237000.000000	50118.720000	-88.200000
56234.130000	212000.000000	56234.130000	-88.200000
63095.730000	189000.000000	63095.730000	-88.300000
70794.570000	169000.000000	70794.570000	-88.200000
79432.820000	151000.000000	79432.820000	-88.200000
89125.090000	135000.000000	89125.090000	-88.200000
100000.000000	120000.000000	100000.000000	-88.200000
112201.800000	107240.000000	112201.800000	-88.220000
125892.500000	95960.000000	125892.500000	-88.260000
141253.700000	85870.000000	141253.700000	-88.680000
158489.300000	76700.000000	158489.300000	-88.300000
177827.900000	68560.000000	177827.900000	-88.280000
199526.200000	61150.000000	199526.200000	-88.250000
223872.100000	54610.000000	223872.100000	-88.250000
251188.600000	48810.000000	251188.600000	-88.240000
281838.200000	43550.000000	281838.200000	-88.240000
316227.700000	38940.000000	316227.700000	-88.220000
354813.300000	34940.000000	354813.300000	-88.260000
398107.100000	31350.000000	398107.100000	-88.310000
446683.500000	27980.000000	446683.500000	-88.350000
501187.200000	25000.000000	501187.200000	-88.350000
562341.300000	22320.000000	562341.300000	-88.350000
630957.300000	19940.000000	630957.300000	-88.370000
707945.700000	17820.000000	707945.700000	-88.400000
794328.200000	15910.000000	794328.200000	-88.420000
891250.900000	14230.000000	891250.900000	-88.470000
1000000.000000	12730.000000	1000000.000000	-88.520000
1122018.000000	11370.000000	1122018.000000	-88.540000
1258925.000000	10139.000000	1258925.000000	-88.580000
1412537.000000	9073.000000	1412537.000000	-88.640000
1584893.000000	8145.000000	1584893.000000	-88.740000
1778279.000000	7268.000000	1778279.000000	-88.820000
1995262.000000	6499.000000	1995262.000000	-88.880000
2238721.000000	5806.000000	2238721.000000	-88.940000
2511886.000000	5193.000000	2511886.000000	-89.010000
2818382.000000	4648.000000	2818382.000000	-89.080000
3162277.000000	4163.000000	3162277.000000	-89.170000
3548133.000000	3728.000000	3548133.000000	-89.300000
3981071.000000	3338.000000	3981071.000000	-89.430000
4466835.000000	2993.000000	4466835.000000	-89.560000
5011872.000000	2689.000000	5011872.000000	-89.640000
5623413.000000	2420.000000	5623413.000000	-89.700000
6309573.000000	2183.000000	6309573.000000	-89.970000
7079457.000000	1973.000000	7079457.000000	-89.890000
7943282.000000	1794.000000	7943282.000000	-90.340000
8912509.000000	1639.000000	8912509.000000	-90.290000
1.000000E+7	1510.000000	1.000000E+7	-91.020000
