F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,NaN,6309.573,NaN
7079.457,1199000,7079.457,-88.5
7943.282,1072000,7943.282,-88.5
8912.509,957000,8912.509,-88.5
10000,855000,10000,-88.4
11220.18,763000,11220.18,-88.4
12589.25,682000,12589.25,-88.4
14125.37,609000,14125.37,-88.5
15848.93,544000,15848.93,-88.4
17782.79,486000,17782.79,-88.5
19952.62,434000,19952.62,-88.5
22387.21,387000,22387.21,-88.5
25118.86,346000,25118.86,-88.5
28183.82,309000,28183.82,-88.5
31622.77,276000,31622.77,-88.5
35481.33,246000,35481.33,-88.5
39810.71,220000,39810.71,-88.5
44668.35,196000,44668.35,-88.5
50118.72,175000,50118.72,-88.5
56234.13,156000,56234.13,-88.6
63095.73,140000,63095.73,-88.6
70794.57,125000,70794.57,-88.6
79432.82,111000,79432.82,-88.6
89125.09,99340,89125.09,-88.62
100000,88720,100000,-88.64
112201.8,79210,112201.8,-88.66
125892.5,70700,125892.5,-88.69
141253.7,63090,141253.7,-88.77
158489.3,56340,158489.3,-88.72
177827.9,50280,177827.9,-88.73
199526.2,44880,199526.2,-88.75
223872.1,40060,223872.1,-88.76
251188.6,35750,251188.6,-88.78
281838.2,31910,281838.2,-88.8
316227.7,28480,316227.7,-88.81
354813.3,25420,354813.3,-88.82
398107.1,22690,398107.1,-88.83
446683.5,20250,446683.5,-88.85
501187.2,18070,501187.2,-88.85
562341.3,16130,562341.3,-88.86
630957.3,14400,630957.3,-88.88
707945.7,12850,707945.7,-88.88
794328.2,11470,794328.2,-88.89
891250.9,10207,891250.9,-88.87
1000000,9112,1000000,-88.88
1122018,8135,1122018,-88.88
1258925,7262,1258925,-88.88
1412537,6484,1412537,-88.88
1584893,5791,1584893,-88.87
1778279,5172,1778279,-88.86
1995262,4621,1995262,-88.85
2238721,4129,2238721,-88.85
2511886,3691,2511886,-88.84
2818382,3300,2818382,-88.83
3162277,2953,3162277,-88.82
3548133,2643,3548133,-88.8
3981071,2368,3981071,-88.78
4466835,2124,4466835,-88.76
5011872,1907,5011872,-88.74
5623413,1714,5623413,-88.71
6309573,1544,6309573,-88.7
7079457,1393,7079457,-88.7
7943282,1259,7943282,-88.72
8912509,1141,8912509,-88.75
10000000,1033.4,10000000,-88.43
