F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,NaN,1000,NaN
1122.018,NaN,1122.018,NaN
1258.925,NaN,1258.925,NaN
1412.537,NaN,1412.537,NaN
1584.893,NaN,1584.893,NaN
1778.279,NaN,1778.279,NaN
1995.262,NaN,1995.262,NaN
2238.721,NaN,2238.721,NaN
2511.886,NaN,2511.886,NaN
2818.382,NaN,2818.382,NaN
3162.277,NaN,3162.277,NaN
3548.133,NaN,3548.133,NaN
3981.071,NaN,3981.071,NaN
4466.835,NaN,4466.835,NaN
5011.872,NaN,5011.872,NaN
5623.413,NaN,5623.413,NaN
6309.573,NaN,6309.573,NaN
7079.457,1193400,7079.457,-88.3
7943.282,1066000,7943.282,-88.3
8912.509,952200,8912.509,-88.32
10000,850400,10000,-88.32
11220.18,759600,11220.18,-88.32
12589.25,678500,12589.25,-88.32
14125.37,606000,14125.37,-88.32
15848.93,541300,15848.93,-88.33
17782.79,483500,17782.79,-88.33
19952.62,431900,19952.62,-88.34
22387.21,385700,22387.21,-88.34
25118.86,344500,25118.86,-88.34
28183.82,307700,28183.82,-88.35
31622.77,274800,31622.77,-88.36
35481.33,245400,35481.33,-88.37
39810.71,219200,39810.71,-88.37
44668.35,195700,44668.35,-88.4
50118.72,174800,50118.72,-88.41
56234.13,156200,56234.13,-88.42
63095.73,139500,63095.73,-88.44
70794.57,124600,70794.57,-88.45
79432.82,111300,79432.82,-88.45
89125.09,99340,89125.09,-88.49
100000,88720,100000,-88.52
112201.8,79230,112201.8,-88.54
125892.5,70730,125892.5,-88.56
141253.7,63130,141253.7,-88.58
158489.3,56370,158489.3,-88.59
177827.9,50330,177827.9,-88.61
199526.2,44930,199526.2,-88.63
223872.1,40110,223872.1,-88.64
251188.6,35810,251188.6,-88.65
281838.2,31970,281838.2,-88.66
316227.7,28620,316227.7,-88.65
354813.3,25560,354813.3,-88.7
398107.1,22810,398107.1,-88.72
446683.5,20360,446683.5,-88.73
501187.2,18180,501187.2,-88.74
562341.3,16230,562341.3,-88.75
630957.3,14490,630957.3,-88.77
707945.7,12930,707945.7,-88.78
794328.2,11520,794328.2,-88.8
891250.9,10242,891250.9,-88.76
1000000,9146,1000000,-88.76
1122018,8169,1122018,-88.76
1258925,7297,1258925,-88.76
1412537,6519,1412537,-88.76
1584893,5825,1584893,-88.76
1778279,5207,1778279,-88.75
1995262,4656,1995262,-88.75
2238721,4166,2238721,-88.74
2511886,3730,2511886,-88.73
2818382,3341,2818382,-88.72
3162277,2996,3162277,-88.71
3548133,2690,3548133,-88.7
3981071,2419,3981071,-88.69
4466835,2179,4466835,-88.67
5011872,1968,5011872,-88.65
5623413,1783,5623413,-88.63
6309573,1622,6309573,-88.62
7079457,1484,7079457,-88.63
7943282,1367,7943282,-88.65
8912509,1270,8912509,-88.71
10000000,1195,10000000,-88.83
