F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	1253900.000000	6309.573000	-87.780000
7079.457000	1120900.000000	7079.457000	-87.760000
7943.282000	1003100.000000	7943.282000	-87.710000
8912.509000	898900.000000	8912.509000	-87.750000
10000.000000	803300.000000	10000.000000	-87.750000
11220.180000	718100.000000	11220.180000	-87.740000
12589.250000	641900.000000	12589.250000	-87.750000
14125.370000	573600.000000	14125.370000	-87.750000
15848.930000	512700.000000	15848.930000	-87.760000
17782.790000	458200.000000	17782.790000	-87.770000
19952.620000	409500.000000	19952.620000	-87.770000
22387.210000	365900.000000	22387.210000	-87.790000
25118.860000	327000.000000	25118.860000	-87.800000
28183.820000	292200.000000	28183.820000	-87.810000
31622.770000	261100.000000	31622.770000	-87.820000
35481.330000	233400.000000	35481.330000	-87.840000
39810.710000	208500.000000	39810.710000	-87.850000
44668.350000	186400.000000	44668.350000	-87.880000
50118.720000	166500.000000	50118.720000	-87.900000
56234.130000	148800.000000	56234.130000	-87.920000
63095.730000	133000.000000	63095.730000	-87.950000
70794.570000	118800.000000	70794.570000	-87.970000
79432.820000	106150.000000	79432.820000	-87.990000
89125.090000	94740.000000	89125.090000	-88.050000
100000.000000	84660.000000	100000.000000	-88.010000
112201.800000	75690.000000	112201.800000	-88.090000
125892.500000	67600.000000	125892.500000	-88.130000
141253.700000	60390.000000	141253.700000	-88.130000
158489.300000	53910.000000	158489.300000	-88.180000
177827.900000	48080.000000	177827.900000	-88.230000
199526.200000	42900.000000	199526.200000	-88.240000
223872.100000	38230.000000	223872.100000	-88.250000
251188.600000	34140.000000	251188.600000	-88.270000
281838.200000	30490.000000	281838.200000	-88.290000
316227.700000	27230.000000	316227.700000	-88.310000
354813.300000	24320.000000	354813.300000	-88.330000
398107.100000	21720.000000	398107.100000	-88.350000
446683.500000	19440.000000	446683.500000	-88.330000
501187.200000	17380.000000	501187.200000	-88.390000
562341.300000	15550.000000	562341.300000	-88.420000
630957.300000	13870.000000	630957.300000	-88.460000
707945.700000	12370.000000	707945.700000	-88.440000
794328.200000	11050.000000	794328.200000	-88.440000
891250.900000	9840.000000	891250.900000	-88.440000
1000000.000000	8790.000000	1000000.000000	-88.450000
1122018.000000	7853.000000	1122018.000000	-88.450000
1258925.000000	7016.000000	1258925.000000	-88.460000
1412537.000000	6276.000000	1412537.000000	-88.470000
1584893.000000	5610.000000	1584893.000000	-88.480000
1778279.000000	5016.000000	1778279.000000	-88.470000
1995262.000000	4485.000000	1995262.000000	-88.470000
2238721.000000	4012.000000	2238721.000000	-88.470000
2511886.000000	3587.000000	2511886.000000	-88.430000
2818382.000000	3215.000000	2818382.000000	-88.440000
3162277.000000	2880.000000	3162277.000000	-88.410000
3548133.000000	2584.000000	3548133.000000	-88.400000
3981071.000000	2323.000000	3981071.000000	-88.400000
4466835.000000	2089.000000	4466835.000000	-88.350000
5011872.000000	1883.000000	5011872.000000	-88.320000
5623413.000000	1703.000000	5623413.000000	-88.310000
6309573.000000	1544.000000	6309573.000000	-88.290000
7079457.000000	1407.000000	7079457.000000	-88.300000
7943282.000000	1287.000000	7943282.000000	-88.390000
8912509.000000	1186.000000	8912509.000000	-88.460000
1.000000E+7	1100.000000	1.000000E+7	-88.610000
