F (Hz)	|Z| (Ohms)	F (Hz)	Theta (Deg)
1000.000000	NaN	1000.000000	NaN
1122.018000	NaN	1122.018000	NaN
1258.925000	NaN	1258.925000	NaN
1412.537000	NaN	1412.537000	NaN
1584.893000	NaN	1584.893000	NaN
1778.279000	NaN	1778.279000	NaN
1995.262000	NaN	1995.262000	NaN
2238.721000	NaN	2238.721000	NaN
2511.886000	NaN	2511.886000	NaN
2818.382000	NaN	2818.382000	NaN
3162.277000	NaN	3162.277000	NaN
3548.133000	NaN	3548.133000	NaN
3981.071000	NaN	3981.071000	NaN
4466.835000	NaN	4466.835000	NaN
5011.872000	NaN	5011.872000	NaN
5623.413000	NaN	5623.413000	NaN
6309.573000	NaN	6309.573000	NaN
7079.457000	1198000.000000	7079.457000	-87.700000
7943.282000	1071000.000000	7943.282000	-87.800000
8912.509000	957000.000000	8912.509000	-87.800000
10000.000000	855000.000000	10000.000000	-87.800000
11220.180000	765000.000000	11220.180000	-87.900000
12589.250000	683000.000000	12589.250000	-87.900000
14125.370000	611000.000000	14125.370000	-88.000000
15848.930000	546000.000000	15848.930000	-88.000000
17782.790000	488000.000000	17782.790000	-88.000000
19952.620000	436000.000000	19952.620000	-88.100000
22387.210000	389000.000000	22387.210000	-88.100000
25118.860000	348000.000000	25118.860000	-88.100000
28183.820000	311000.000000	28183.820000	-88.200000
31622.770000	277000.000000	31622.770000	-88.200000
35481.330000	248000.000000	35481.330000	-88.300000
39810.710000	221000.000000	39810.710000	-88.300000
44668.350000	198000.000000	44668.350000	-88.300000
50118.720000	177000.000000	50118.720000	-88.300000
56234.130000	158000.000000	56234.130000	-88.400000
63095.730000	141000.000000	63095.730000	-88.400000
70794.570000	126000.000000	70794.570000	-88.400000
79432.820000	112000.000000	79432.820000	-88.400000
89125.090000	100250.000000	89125.090000	-88.450000
100000.000000	89530.000000	100000.000000	-88.480000
112201.800000	79960.000000	112201.800000	-88.510000
125892.500000	71390.000000	125892.500000	-88.540000
141253.700000	63760.000000	141253.700000	-88.550000
158489.300000	56910.000000	158489.300000	-88.580000
177827.900000	50800.000000	177827.900000	-88.590000
199526.200000	45360.000000	199526.200000	-88.620000
223872.100000	40490.000000	223872.100000	-88.620000
251188.600000	36150.000000	251188.600000	-88.640000
281838.200000	32270.000000	281838.200000	-88.650000
316227.700000	28810.000000	316227.700000	-88.670000
354813.300000	25730.000000	354813.300000	-88.690000
398107.100000	22970.000000	398107.100000	-88.700000
446683.500000	20510.000000	446683.500000	-88.710000
501187.200000	18310.000000	501187.200000	-88.720000
562341.300000	16340.000000	562341.300000	-88.730000
630957.300000	14590.000000	630957.300000	-88.740000
707945.700000	13030.000000	707945.700000	-88.760000
794328.200000	11630.000000	794328.200000	-88.760000
891250.900000	10358.000000	891250.900000	-88.750000
1000000.000000	9251.000000	1000000.000000	-88.750000
1122018.000000	8264.000000	1122018.000000	-88.760000
1258925.000000	7383.000000	1258925.000000	-88.760000
1412537.000000	6598.000000	1412537.000000	-88.760000
1584893.000000	5898.000000	1584893.000000	-88.750000
1778279.000000	5276.000000	1778279.000000	-88.740000
1995262.000000	4720.000000	1995262.000000	-88.730000
2238721.000000	4226.000000	2238721.000000	-88.720000
2511886.000000	3787.000000	2511886.000000	-88.720000
2818382.000000	3396.000000	2818382.000000	-88.710000
3162277.000000	3050.000000	3162277.000000	-88.700000
3548133.000000	2744.000000	3548133.000000	-88.680000
3981071.000000	2474.000000	3981071.000000	-88.670000
4466835.000000	2236.000000	4466835.000000	-88.640000
5011872.000000	2029.000000	5011872.000000	-88.620000
5623413.000000	1849.000000	5623413.000000	-88.590000
6309573.000000	1695.000000	6309573.000000	-88.570000
7079457.000000	1567.000000	7079457.000000	-88.570000
7943282.000000	1464.000000	7943282.000000	-88.590000
8912509.000000	1391.000000	8912509.000000	-88.640000
1.000000E+7	1351.000000	1.000000E+7	-88.770000
