F (Hz),|Z| (Ohms),F (Hz),Theta (Deg)
1000,19030,1000,-4.62
1122.018,18950,1122.018,-4.55
1258.925,18880,1258.925,-4.5
1412.537,18800,1412.537,-4.48
1584.893,18720,1584.893,-4.48
1778.279,18650,1778.279,-4.5
1995.262,18570,1995.262,-4.54
2238.721,18500,2238.721,-4.6
2511.886,18430,2511.886,-4.69
2818.382,18360,2818.382,-4.79
3162.277,18280,3162.277,-4.93
3548.133,18210,3548.133,-5.09
3981.071,18130,3981.071,-5.28
4466.835,18050,4466.835,-5.49
5011.872,17970,5011.872,-5.74
5623.413,17880,5623.413,-6.01
6309.573,17790,6309.573,-6.32
7079.457,17700,7079.457,-6.67
7943.282,17600,7943.282,-7.05
8912.509,17500,8912.509,-7.48
10000,17390,10000,-7.94
11220.18,17270,11220.18,-8.45
12589.25,17140,12589.25,-9.01
14125.37,17010,14125.37,-9.62
15848.93,16870,15848.93,-10.29
17782.79,16710,17782.79,-11.01
19952.62,16550,19952.62,-11.8
22387.21,16370,22387.21,-12.65
25118.86,16170,25118.86,-13.57
28183.82,15970,28183.82,-14.57
31622.77,15740,31622.77,-15.64
35481.33,15500,35481.33,-16.78
39810.71,15230,39810.71,-18
44668.35,14950,44668.35,-19.3
50118.72,14650,50118.72,-20.68
56234.13,14320,56234.13,-22.14
63095.73,13970,63095.73,-23.67
70794.57,13600,70794.57,-25.27
79432.82,13200,79432.82,-26.94
89125.09,12780,89125.09,-28.65
100000,12340,100000,-30.41
112201.8,11880,112201.8,-32.2
125892.5,11400,125892.5,-34.01
125892.5,11400,125892.5,-34.01
141253.7,10862,141253.7,-35.82
158489.3,10359,158489.3,-37.64
177827.9,9849,177827.9,-39.44
199526.2,9336,199526.2,-41.22
223872.1,8824,223872.1,-42.96
251188.6,8317,251188.6,-44.64
281838.2,7819,281838.2,-46.28
316227.7,7332,316227.7,-47.86
354813.3,6861,354813.3,-49.36
398107.1,6407,398107.1,-50.81
446683.5,5971,446683.5,-52.19
501187.2,5556,501187.2,-53.5
562341.3,5162,562341.3,-54.75
630957.3,4789,630957.3,-55.95
707945.7,4437,707945.7,-57.09
794328.2,4107,794328.2,-58.18
891250.9,3796,891250.9,-59.22
1000000,3505,1000000,-60.22
1122018,3233,1122018,-61.17
1258925,2979,1258925,-62.08
1412537,2743,1412537,-62.95
1584893,2523,1584893,-63.77
1778279,2319,1778279,-64.55
1995262,2130,1995262,-65.28
2238721,1956,2238721,-65.97
2511886,1795,2511886,-66.61
2818382,1648,2818382,-67.21
3162277,1513,3162277,-67.75
3548133,1390,3548133,-68.25
3981071,1279,3981071,-68.7
4466835,1178,4466835,-69.12
5011872,1084.5,5011872,-69.47
5623413,1003.9,5623413,-69.79
6309573,932.9,6309573,-70.09
7079457,871.6,7079457,-70.39
7943282,819.8,7943282,-70.72
8912509,778,8912509,-71.13
10000000,746.9,10000000,-71.7
