F,Z11,Theta11,Z12,Theta12,Z13,Theta13,,Z21,Theta21,Z22,Theta22,Z23,Theta23,,Z31,Theta31,Z32,Theta32,Z33,Theta33,,Z41,Theta41,Z42,Theta42,Z43,Theta43,,Z51,Theta51,Z52,Theta52,Z53,Theta53,,Z61,Theta61,Z62,Theta62,Z63,Theta63,,Z71,Theta71,Z72,Theta72,Z73,Theta73,,Z81,Theta81,Z82,Theta82,Z83,Theta83,,Z91,Theta91,Z92,Theta92,Z93,Theta93
10000,1115000,-84.4,1184000,-84.1,1211000,-85.3,,1155000,-84.2,1244000,-85.3,1149000,-84.4,,1165000,-84.3,1143000,-84.6,1262000,-86.2,,1183000,-83.8,1227000,-85.9,1119000,-84.2,,1388000,-87,1167000,-85.2,1188000,-85.2,,987000,-78.9,1160000,-85,1014000,-79.7,,1073000,-78.8,987000,-81.4,1048000,-80.6,,1069000,-82.8,1023000,-82.4,1031000,-80.4,,1017000,-79.5,1084000,-83.9,1056000,-81.6
11220.18,1001000,-84.3,1172000,-86.2,1082000,-85.3,,1039000,-84.4,1115000,-85.5,1028000,-85.1,,1044000,-84.5,1027000,-85,1128000,-86.2,,1062000,-84.1,1100000,-85.9,1003000,-84.2,,1288000,-87.3,1044000,-85.6,1063000,-85.5,,890000,-79.4,1038000,-85.2,911000,-80.3,,965000,-79.4,889000,-81.8,939000,-81.1,,960000,-83,917000,-82.5,927000,-80.8,,916000,-80.1,973000,-84,947000,-82.1
12589.25,897000,-84.4,1049000,-86.4,970000,-85.5,,930000,-84.6,998000,-85.8,923000,-85.2,,935000,-84.6,919000,-85,1007000,-86.2,,950000,-84.4,982000,-86.2,900000,-84.5,,1153000,-87.6,934000,-85.7,952000,-85.5,,801000,-80,929000,-85.4,820000,-80.8,,869000,-80,799000,-82.1,847000,-81.4,,861000,-83.2,825000,-82.8,833000,-81.3,,824000,-80.5,873000,-84.2,853000,-82.3
14125.37,805000,-84.8,936000,-86.5,868000,-85.7,,834000,-84.8,893000,-85.9,827000,-85.5,,838000,-84.8,823000,-85.3,901000,-86.4,,851000,-84.5,880000,-86.4,807000,-84.5,,1028000,-87.7,835000,-85.8,852000,-85.7,,722000,-80.4,833000,-85.4,738000,-81.2,,782000,-80.6,717000,-82.4,760000,-81.9,,773000,-83.4,739000,-83,751000,-81.7,,742000,-81,784000,-84.4,765000,-82.8
15848.93,723000,-84.7,838000,-86.6,778000,-85.8,,747000,-84.9,799000,-86.2,739000,-85.5,,751000,-84.9,737000,-85.4,807000,-86.5,,763000,-84.8,787000,-86.5,724000,-84.8,,918000,-87.9,746000,-86,762000,-85.8,,649000,-80.8,746000,-85.7,663000,-81.5,,702000,-81.2,645000,-82.6,683000,-82.3,,693000,-83.7,664000,-83.3,674000,-81.9,,666000,-81.4,702000,-84.6,685000,-83
17782.79,647000,-84.9,749000,-86.6,697000,-85.9,,671000,-85.1,714000,-86.2,664000,-85.5,,672000,-85.2,660000,-85.5,721000,-86.4,,684000,-85,704000,-86.6,647000,-85,,819000,-88,669000,-86.1,683000,-86,,584000,-81.3,668000,-85.8,597000,-81.9,,631000,-81.6,580000,-82.8,614000,-82.5,,623000,-84,598000,-83.5,605000,-82.3,,599000,-81.9,629000,-84.8,617000,-83.3
19952.62,580000,-85,671000,-86.8,624000,-86.1,,600000,-85.2,640000,-86.4,594000,-85.7,,603000,-85.3,592000,-85.7,643000,-86.7,,613000,-85.1,630000,-86.6,581000,-85.1,,732000,-88.1,598000,-86.2,611000,-86.1,,526000,-81.6,598000,-85.8,536000,-82.3,,567000,-82.1,521000,-83.1,552000,-82.8,,558000,-84.2,536000,-83.7,544000,-82.6,,538000,-82.3,564000,-85.1,553000,-83.5
22387.21,520000,-85.2,600000,-86.8,559000,-86.2,,538000,-85.4,572000,-86.5,531000,-85.7,,540000,-85.5,530000,-85.8,576000,-86.8,,549000,-85.3,563000,-86.8,520000,-85.2,,654000,-88.2,537000,-86.4,547000,-86.3,,472000,-82,535000,-86,481000,-82.7,,509000,-82.5,468000,-83.4,495000,-83.2,,501000,-84.4,481000,-83.9,488000,-83,,483000,-82.6,505000,-85.1,496000,-83.8
25118.86,466000,-85.4,537000,-86.9,500000,-86.2,,481000,-85.5,512000,-86.6,476000,-85.9,,483000,-85.7,474000,-85.9,516000,-86.9,,492000,-85.5,504000,-86.9,466000,-85.4,,583000,-88.3,479000,-86.4,489000,-86.4,,425000,-82.4,479000,-86.1,432000,-82.9,,456000,-82.9,420000,-83.5,444000,-83.5,,449000,-84.5,432000,-84.1,438000,-83.3,,433000,-83,453000,-85.3,445000,-84.1
28183.82,417000,-85.4,480000,-87,448000,-86.4,,431000,-85.6,458000,-86.7,427000,-86,,433000,-85.8,425000,-86,461000,-87,,440000,-85.7,450000,-87,417000,-85.5,,521000,-88.3,429000,-86.5,438000,-86.4,,382000,-82.7,429000,-86.2,388000,-83.2,,410000,-83.3,377000,-83.8,398000,-83.7,,403000,-84.7,387000,-84.3,393000,-83.5,,389000,-83.3,405000,-85.5,399000,-84.3
